Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2016-01-01 00:13:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 00:28:00;0;-4.00;-11.00;0;-2.00;6.00;6.00;0;
2016-01-01 00:43:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 00:58:00;0;-4.00;-11.00;0;-3.00;6.00;6.00;0;
2016-01-01 01:13:00;0;-4.00;-11.00;0;-3.00;5.00;6.00;0;
2016-01-01 01:28:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 01:43:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 01:58:00;0;-4.00;-12.00;0;-2.00;6.00;6.00;0;
2016-01-01 02:13:00;0;-4.00;-12.00;0;-2.00;6.00;6.00;0;
2016-01-01 02:28:00;0;-4.00;-12.00;0;-2.00;6.00;6.00;0;
2016-01-01 02:43:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 02:58:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 03:13:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 03:28:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 03:43:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 03:58:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 04:13:00;0;-4.00;-11.00;0;-3.00;5.00;6.00;0;
2016-01-01 04:28:00;0;-4.00;-11.00;0;-2.00;5.00;5.00;0;
2016-01-01 04:43:00;0;-4.00;-10.00;0;-2.00;5.00;5.00;0;
2016-01-01 04:58:00;0;-4.00;-10.00;0;-2.00;5.00;5.00;0;
2016-01-01 05:13:00;0;-4.00;-14.00;0;-3.00;7.00;8.00;0;
2016-01-01 05:28:00;0;-4.00;-11.00;0;-2.00;5.00;6.00;0;
2016-01-01 05:43:00;0;-4.00;-10.00;0;-2.00;5.00;5.00;0;
2016-01-01 05:58:00;0;-4.00;-10.00;0;-2.00;5.00;5.00;0;
2016-01-01 06:13:00;0;-4.00;-10.00;0;-2.00;5.00;5.00;0;
2016-01-01 06:28:00;0;-4.00;-10.00;0;-3.00;5.00;4.00;0;
2016-01-01 06:43:00;0;-4.00;-10.00;0;-2.00;5.00;5.00;0;
2016-01-01 06:58:00;0;-3.00;-25.00;0;-2.00;12.00;12.00;0;
2016-01-01 07:13:00;0;-2.00;-31.00;0;-1.00;12.00;19.00;0;
2016-01-01 07:28:00;0;0;-33.00;0;0;13.00;19.00;0;
2016-01-01 07:43:00;9.00;0;-27.00;1.00;0;13.00;19.00;0;
2016-01-01 07:58:00;14.00;0;-46.00;2.00;0;12.00;50.00;0;
2016-01-01 08:13:00;40.00;-4.00;12.00;2.00;-5.00;12.00;88.00;0;
2016-01-01 08:28:00;119.00;-4.00;50.00;3.00;149.00;11.00;126.00;0;
2016-01-01 08:43:00;196.00;-5.00;84.00;3.00;317.00;11.00;154.00;0;
2016-01-01 08:58:00;263.00;-2.00;128.00;4.00;148.00;11.00;178.00;0;
2016-01-01 09:13:00;313.00;-2.00;156.00;4.00;174.00;11.00;189.00;0;
2016-01-01 09:28:00;336.00;0;166.00;5.00;112.00;14.00;199.00;0;
2016-01-01 09:43:00;351.00;0;257.00;4.00;534.00;14.00;219.00;0;
2016-01-01 09:58:00;375.00;1.00;506.00;5.00;1406.00;14.00;243.00;0;
2016-01-01 10:13:00;366.00;1.00;623.00;4.00;1064.00;14.00;256.00;0;
2016-01-01 10:28:00;388.00;0;675.00;4.00;1719.00;14.00;344.00;0;
2016-01-01 10:43:00;364.00;-1.00;367.00;4.00;1665.00;15.00;567.00;0;
2016-01-01 10:58:00;365.00;-2.00;266.00;4.00;880.00;14.00;894.00;0;
2016-01-01 11:13:00;323.00;0;233.00;4.00;995.00;14.00;1149.00;0;
2016-01-01 11:28:00;283.00;0;192.00;4.00;90.00;15.00;814.00;0;
2016-01-01 11:43:00;224.00;-8.00;136.00;3.00;66.00;14.00;276.00;0;
2016-01-01 11:58:00;125.00;-3.00;81.00;2.00;54.00;14.00;182.00;0;
2016-01-01 12:13:00;41.00;0;19.00;2.00;40.00;14.00;141.00;0;
2016-01-01 12:28:00;13.00;0;-14.00;2.00;25.00;11.00;104.00;0;
2016-01-01 12:43:00;5.00;0;-28.00;1.00;9.00;11.00;57.00;0;
2016-01-01 12:58:00;0;0;-28.00;0;0;12.00;17.00;0;
2016-01-01 13:13:00;0;-2.00;-29.00;0;0;12.00;17.00;0;
2016-01-01 13:28:00;0;-3.00;-28.00;0;-1.00;11.00;17.00;0;
2016-01-01 13:43:00;0;-4.00;-13.00;0;-3.00;6.00;7.00;0;
2016-01-01 13:58:00;0;-4.00;-10.00;0;-3.00;5.00;5.00;0;
2016-01-01 14:13:00;0;-4.00;-9.00;0;-3.00;5.00;4.00;0;
2016-01-01 14:28:00;0;-4.00;-11.00;0;-3.00;6.00;5.00;0;
2016-01-01 14:43:00;0;-4.00;-10.00;0;-3.00;5.00;5.00;0;
2016-01-01 14:58:00;0;-4.00;-11.00;0;-3.00;6.00;5.00;0;
2016-01-01 15:13:00;0;-3.00;-11.00;0;-3.00;6.00;6.00;0;
2016-01-01 15:28:00;0;-4.00;-11.00;0;-3.00;6.00;6.00;0;
2016-01-01 15:43:00;0;-4.00;-11.00;0;-3.00;6.00;5.00;0;
2016-01-01 15:58:00;0;-4.00;-11.00;0;-3.00;6.00;5.00;0;
2016-01-01 16:13:00;0;-4.00;-11.00;0;-3.00;5.00;6.00;0;
2016-01-01 16:28:00;0;-3.00;-11.00;0;-3.00;6.00;5.00;0;
2016-01-01 16:43:00;0;-4.00;-11.00;0;-3.00;6.00;5.00;0;
2016-01-01 16:58:00;0;-4.00;-11.00;0;-3.00;6.00;5.00;0;
